term,estimate,std.error,statistic,p.value,or
(Intercept),3.483958582661938,0.3759534252065314,9.266995188959942,1.9146366303070947e-20,32.58847123284599
as.factor(pclass)2,-1.2570298289759276,0.2551753846907844,-4.92614062480661,8.386964813146121e-7,0.2844977798957922
as.factor(pclass)3,-2.2614125735100092,0.2654699594799725,-8.518525327460315,1.6159770122142747e-17,0.104203186083837
sexmale,-2.4938097818039733,0.16699628221569493,-14.9333251538075,2.000371456692667e-50,0.08259469862552352
age,-0.0342310882534639,0.006361342086369713,-5.381111059380062,7.402750343506614e-8,0.966348167122984
fare,3.3981738652934083e-4,0.0017811263246827723,0.19078791987977836,0.8486917533801781,1.0003398751309982
